"","treat","elapsed.time","flux.mn","flux.sd","cum.mn","cum.sd","NH3.bg.mn"
"43","NEO",72.7,2.08756860856917e-05,6.9532443376305e-06,0.115670219211302,0.0409348964046062,7.04414379303333
"44","NEO",74.5,1.46360636918224e-05,5.2807821964648e-06,0.117516830199732,0.0414846064014912,5.4165162168
"45","NEO",76.2,1.43570533922916e-05,5.2492145438017e-06,0.119024472288106,0.0419452346695881,3.94413755716667
"46","NEO",77.9,9.96941683351164e-06,4.15881828507856e-06,0.120289448739848,0.0423415899357234,2.8049131658
"47","NEO",79.7,6.21435819949992e-06,1.14371771865961e-06,0.121131005041565,0.0425449510440317,2.17155846173333
"48","NEO",81.4,5.87725641128989e-06,1.22665195821752e-06,0.121759769001326,0.0426346582335015,1.9810003146
"49","NEO",83.1,6.28359386397859e-06,3.05775143689282e-06,0.12239213321564,0.0427035055906388,2.41815244346667
"50","NEO",84.9,6.05924410817502e-06,2.66737252157642e-06,0.123033960790192,0.0427934967257335,3.2300479969
"51","NEO",86.6,4.74077443824115e-06,3.5879160435609e-06,0.123595561754605,0.0429929244987675,5.0885365919
"52","NEO",88.3,9.14180938799229e-06,6.84413502345235e-06,0.124317456113569,0.0432030334963631,5.60588957036667
"53","NEO",90.1,2.71478121763837e-05,5.40681338147725e-06,0.126204516434917,0.0434681905270876,7.4277689851
"54","NEO",91.8,2.40762649298805e-05,4.04285137669573e-06,0.128868168444443,0.0436380690326004,7.83336000473333
"55","NEO",93.5,3.51882749156037e-05,1.29321509880284e-05,0.131949924516408,0.0442511790934835,7.1230055278
"56","NEO",95.3,2.09894088726596e-05,9.93186761731108e-06,0.134871164073397,0.0453898386545484,9.1665406376
"57","NEO",97,1.78435949776826e-05,3.41814240605588e-06,0.136890480273615,0.0459741578455979,7.00867319336667
"58","NEO",98.7,1.92237892435927e-05,4.99443102465562e-06,0.138817984253122,0.0462403073174542,6.50418611263333
"59","NEO",100,1.31893458175347e-05,2.89490220951192e-06,0.1405034672763,0.0464691574468492,3.8414301744
"60","NEO",102,9.61435913199041e-06,2.09591302129827e-06,0.141689259933676,0.0465692521741494,2.7621047875
"61","NEO",104,7.72710564897562e-06,1.96550196965013e-06,0.142591016102286,0.0466701719145277,1.87557153336667
"62","NEO",106,6.07984250096828e-06,1.62498069682903e-07,0.143308977406083,0.0467054478616774,1.52586501463333
"63","NEO",107,5.41375869418193e-06,6.14476133442007e-07,0.143906644668231,0.0466750901592278,1.63363576443333
"64","NEO",109,4.40815756390799e-06,5.89839663212605e-07,0.144417384313651,0.0466774011059395,1.23501931334
"65","NEO",111,5.24849080462416e-06,4.82749518265821e-06,0.144919530028815,0.0466519987473298,2.53919364456667
"66","NEO",113,6.26559788276262e-06,3.30738967933495e-06,0.145518262640559,0.0467254407068296,5.28524014143333
"67","NEO",114,1.37278970391493e-05,5.92577330537155e-06,0.146557924376499,0.0471101386475449,5.87876274023333
"68","NEO",117,8.22232520899654e-06,5.06677017704849e-06,0.116556957065143,0.034041216331006,7.5104134509
"69","NEO",119,1.65121138849658e-05,7.83183092289969e-06,0.149921948174114,0.0482795976063895,5.0765901813
"70","NEO",121,1.08240235305131e-05,8.95905495960565e-06,0.151343427319719,0.0490110182151191,4.4781024008
"71","NEO",123,7.65606726587362e-06,4.10631116268666e-06,0.152304392041131,0.0493639717231083,2.45828060683333
"72","NEO",124,5.08758240094484e-06,2.00654335606127e-06,0.152967061823806,0.0493213704880161,2.4492851261
"73","NEO",126,3.86349547011258e-06,1.37948355641793e-06,0.153432517873101,0.0493240522563528,1.8724974485
"74","NEO",128,2.41324774495448e-06,3.48919663451809e-07,0.153758908520284,0.0493866046933675,1.9488438508
"75","NEO",130,2.95103468632434e-06,4.14445124667678e-07,0.154037851206711,0.0494076458520533,1.64550352136667
"76","NEO",131,2.69782812995801e-06,1.08101476640267e-07,0.154331592073157,0.0494217582325895,1.59017740473333
"77","NEO",133,9.62229952242173e-07,8.65106945554757e-07,0.154521915093432,0.0494301957490125,2.0942505066
"78","NEO",135,1.28296651692455e-06,2.91306885646382e-06,0.154638665309829,0.0494526325647019,2.98581442856667
"79","NEO",137,5.84398153371006e-06,9.61563765098902e-07,0.155009266608462,0.049506607765732,5.1977290854
"80","NEO",138,1.34005289880081e-05,6.19451991001793e-06,0.156009981155591,0.049717106275922,5.31167519876667
"81","NEO",140,1.29822104546687e-05,2.13795655000246e-06,0.15738188360661,0.0499845578764465,5.50114751843333
"82","NEO",142,1.48772291329056e-05,5.79868963613077e-06,0.158830574465164,0.0502654401594142,4.59557899043333
"83","NEO",143,1.48056533429787e-05,4.01495490108225e-06,0.16037408435391,0.0506428930117933,3.36815220503333
"84","NEO",145,1.17520753431827e-05,9.49918414921723e-06,0.16175508624559,0.0512288454416261,4.03997872016667
"85","NEO",147,1.44041806600418e-05,8.47808698500612e-06,0.163115211557758,0.0516650446661864,2.898144933
"86","NEO",149,9.38252923400705e-06,3.50237738482281e-06,0.164352120472249,0.0515280501314288,1.78184697123333
"87","NEO",150,5.03193554574893e-06,1.74726253494833e-06,0.165101672640796,0.0514072959616279,1.38092619917667
"88","NEO",152,4.78574619350665e-06,1.39048530755921e-07,0.165612192091237,0.0514657782070827,1.05087583215667
"89","NEO",154,4.29051069683125e-06,2.73363581728208e-07,0.166084157449535,0.0514840842355383,0.956398343633333
"90","NEO",156,3.61011365221789e-06,2.0648786472072e-07,0.166494989915685,0.0515088033709428,0.928459845843333
"91","NEO",157,3.81834579999561e-06,6.56227539876639e-07,0.1668812698072,0.0515513112960146,1.02825967436667
"92","NEO",159,5.50261993603915e-06,2.69449614484057e-06,0.167365960025474,0.0515481737989441,1.50288716956667
"93","NEO",161,8.50663215825665e-06,3.61986268655744e-06,0.165870569852041,0.072835532141648,2.67130098846667
"94","Raw",0,0.000917080426023645,0.000210803702582545,0,0,12.9315085496667
"95","Raw",1.73,0.000680932411821275,0.000161070457270779,0.0830966675679358,0.0189774502477691,17.667335423
"96","Raw",3.47,0.000561456126283118,0.000145690187727705,0.147700871549364,0.0347454824242519,12.0985440076667
"97","Raw",5.2,0.000410095957814951,0.000129824731977413,0.198221579922464,0.0485768296952178,9.83360758036667
"98","Raw",6.93,0.000235427006943935,5.54516510174869e-05,0.231788774089926,0.0578224652585546,13.2204891265
"99","Raw",8.66,0.000196970685692029,5.95918857882379e-05,0.254273454106996,0.0637620421769154,11.0569149229333
"100","Raw",10.4,0.000165965868402839,3.59197599884154e-05,0.273146154919929,0.0686831247924757,9.85037688966667
"101","Raw",12.1,0.00018816699261488,2.86539028343424e-05,0.29156106369285,0.0719938102552428,8.99283063976667
"102","Raw",13.9,0.00022130098636234,2.09749758582772e-05,0.312853398599666,0.0745495631125685,8.30062355676667
"103","Raw",15.6,0.000398853941262541,3.30358525558746e-05,0.34510145483616,0.0756545991446688,13.001894942
"104","Raw",17.3,0.000534838322832768,3.00229089374984e-05,0.393653452569116,0.076261081141719,16.5761025493333
"105","Raw",19.1,0.000641878061185347,2.85638518028274e-05,0.454842704538058,0.0782801471187048,14.8677358633333
"106","Raw",20.8,0.000502622027937784,8.64865063554073e-05,0.51435670917246,0.0838659276883384,13.4412721123333
"107","Raw",22.5,0.000325249163430472,1.50295891035292e-05,0.55740601112361,0.088685043247754,12.4227850153333
"108","Raw",24.3,0.000194406343696921,7.21418525624628e-05,0.584428097494234,0.0930320438581698,10.1204887183333
"109","Raw",26,0.000152921270144561,3.27713784102979e-05,0.602489133413991,0.098318701377108,10.8638333608667
"110","Raw",27.7,0.000115199446103942,1.89475322872615e-05,0.616431410658913,0.10080824075569,8.54853958996667
"111","Raw",29.5,8.58907214576853e-05,1.90612689284761e-05,0.626888099372118,0.102674007602011,7.61478192776667
"112","Raw",31.2,6.21855417639515e-05,5.83920122987172e-06,0.634588065059643,0.103899849362214,4.16301982213333
"113","Raw",32.9,5.30487814839566e-05,6.82020268041421e-06,0.640580249868534,0.104342113238271,3.9917886941
"114","Raw",34.6,4.39706720224963e-05,9.33860519926049e-06,0.64562526145087,0.104865196261153,3.53868271383333
"115","Raw",36.4,3.45492561545215e-05,9.62604982986119e-06,0.649708297716075,0.105595249535615,5.84869214576667
"116","Raw",38.1,4.44529493056275e-05,1.49450237506517e-05,0.653816412400002,0.105894074507304,7.5566946551
"117","Raw",39.8,0.000101310378646389,6.89018980737487e-06,0.661396105453507,0.105506393717307,12.328248806
"118","Raw",41.6,6.35015345446657e-05,2.4915258126657e-05,0.669966324939442,0.106484603694455,9.12681181483333
"119","Raw",43.3,9.02420405653663e-05,2.58256923534994e-05,0.677960990845164,0.106428919194109,8.31154837426667
"120","Raw",45,6.23742495459913e-05,3.72996292262944e-05,0.685897037930954,0.106962119203184,7.91268645726667
"121","Raw",46.7,4.7582049587154e-05,1.21338999780726e-06,0.691614765485878,0.10885811129854,5.78806825453333
"122","Raw",48.5,4.41863162794345e-05,4.31927331601003e-06,0.696386720510941,0.109100039858171,5.1336408505
"123","Raw",50.2,2.65851169061981e-05,8.15061103057752e-06,0.700066835036593,0.109744077964281,3.68170462806667
"124","Raw",51.9,2.39988477805592e-05,3.3415739353314e-06,0.702697201200305,0.110213358910291,2.81149516576667
"125","Raw",53.7,2.3109352862365e-05,2.38841100821962e-06,0.705146827633737,0.110364420065183,2.6811288806
"126","Raw",55.4,1.99850703799904e-05,3.60326197627853e-06,0.707387737642339,0.11064122244998,3.0673738864
"127","Raw",57.1,1.96858902676414e-05,3.0981290566404e-06,0.709450627596016,0.110969765557227,3.4194569423
"128","Raw",58.9,1.64899057498012e-05,4.59292136435748e-06,0.711331768988923,0.111353731765403,3.26982568476667
"129","Raw",60.6,1.30755298121716e-05,5.1327413054318e-06,0.712869171638146,0.111844281987021,3.06676791973333
"130","Raw",62.3,1.43860272142391e-05,6.43795988781178e-06,0.714297172603519,0.112144697501236,2.27638459226667
"131","Raw",64.1,3.08490043530253e-05,6.2185377531108e-06,0.716649394245017,0.111913829411305,5.0203364673
"132","Raw",65.8,4.82458518164038e-05,6.00068533846569e-06,0.720762326765827,0.111921421432633,6.93735484256667
"133","Raw",67.5,5.00882974697106e-05,1.01667145767267e-05,0.725875702528705,0.112568537747843,7.65077790016667
"134","Raw",69.3,4.82993739104282e-05,4.69318858517189e-06,0.730991861440472,0.112815107772912,8.84030288636667
"135","Raw",71,3.53096056770983e-05,1.28619504811439e-05,0.735339528379024,0.112827622607524,7.77142589436667
"136","Raw",72.7,2.92589400215886e-05,2.54476683549263e-06,0.738697092755355,0.11290410514498,7.04414379303333
"137","Raw",74.5,3.15536441095064e-05,1.18764572091181e-05,0.741859347130172,0.113430218537737,5.4165162168
"138","Raw",76.2,2.65891885315043e-05,8.67685386948179e-06,0.744882774427505,0.114460146011502,3.94413755716667
"139","Raw",77.9,1.78004673272164e-05,6.81379391089726e-06,0.747191036532158,0.115243597746028,2.8049131658
"140","Raw",79.7,1.21028912856409e-05,2.53296969526782e-06,0.748746011180027,0.115678410616907,2.17155846173333
"141","Raw",81.4,1.11790429553222e-05,3.24614442145779e-06,0.749956671760557,0.115878093249183,1.9810003146
"142","Raw",83.1,1.40870637965854e-05,3.10657643505279e-06,0.751270509311656,0.115873800939718,2.41815244346667
"143","Raw",84.9,1.46634337803891e-05,1.92706681860619e-06,0.752765535185659,0.115766850089329,3.2300479969
"144","Raw",86.6,1.43596517259566e-05,3.02609006778375e-06,0.754274735631989,0.11585121175321,5.0885365919
"145","Raw",88.3,2.32784368379157e-05,5.63966715046059e-06,0.75623191623731,0.115639207963176,5.60588957036667
"146","Raw",90.1,4.25553572492448e-05,5.13074222170645e-06,0.759655273529843,0.115503398192753,7.4277689851
"147","Raw",91.8,3.50416913759709e-05,5.82203756930102e-06,0.763690320058354,0.115935132234588,7.83336000473333
"148","Raw",93.5,4.37069749122729e-05,1.80790840463573e-05,0.767785250705343,0.11683977215048,7.1230055278
"149","Raw",95.3,3.0458869065258e-05,6.48282793482603e-06,0.771641874592174,0.117772681765057,9.1665406376
"150","Raw",97,2.98384448701221e-05,4.05155113249185e-06,0.774777334916814,0.118063096305542,7.00867319336667
"151","Raw",98.7,2.81919426767598e-05,8.27316971933162e-06,0.777794915069252,0.118262946087703,6.50418611263333
"152","Raw",100,1.99856936096307e-05,6.43297788449503e-06,0.780300152156144,0.11878649396695,3.8414301744
"153","Raw",102,1.42545446742318e-05,4.49684181833574e-06,0.782080644546905,0.119330510819006,2.7621047875
"154","Raw",104,1.01104658088372e-05,4.65511462924053e-06,0.783347625092024,0.119804207920393,1.87557153336667
"155","Raw",106,8.31383576836101e-06,3.38827117625581e-06,0.784305688774039,0.120173672165165,1.52586501463333
"156","Raw",107,7.28950083697716e-06,2.43674067121753e-06,0.785117062277516,0.120371781677421,1.63363576443333
"157","Raw",109,6.06007380965201e-06,3.94051163376283e-06,0.785811240159141,0.120601612839866,1.23501931334
"158","Raw",111,9.39728916766427e-06,5.30752607159155e-06,0.786615023033961,0.120603209472339,2.53919364456667
"159","Raw",113,1.77702755829726e-05,1.08544210346236e-06,0.788027736400995,0.12043679225456,5.28524014143333
"160","Raw",114,1.75771948274744e-05,1.18069887465535e-05,0.789865804862338,0.120959825585312,5.87876274023333
"161","Raw",117,2.08295594699575e-05,1.21278836842946e-05,0.725655795900141,0.0561155889109442,7.5104134509
"162","Raw",119,2.20766622789089e-05,1.42068625280377e-05,0.794457326243768,0.122518568072738,5.0765901813
"163","Raw",121,1.59875459041708e-05,1.34101035066237e-05,0.796436665069288,0.123867580830614,4.4781024008
"164","Raw",123,9.98360545603325e-06,3.60317798828868e-06,0.797787164940019,0.124561868548695,2.45828060683333
"165","Raw",124,7.14903368974662e-06,1.30013716679268e-06,0.7986780621756,0.124690524342252,2.4492851261
"166","Raw",126,6.11100672487403e-06,3.76277978204014e-06,0.79936758427716,0.124942308290423,1.8724974485
"167","Raw",128,4.1238337662556e-06,2.20201302746267e-06,0.799899795982699,0.125215705949309,1.9488438508
"168","Raw",130,4.30121920404844e-06,1.90739288208455e-06,0.800337898737154,0.125378905867543,1.64550352136667
"169","Raw",131,4.47766078173366e-06,2.12507434058591e-06,0.800794400496415,0.125521702701055,1.59017740473333
"170","Raw",133,3.31242914861223e-06,2.565182183499e-06,0.801199485172793,0.125634940525397,2.0942505066
"171","Raw",135,4.74109039754623e-06,3.48262192681244e-06,0.801618268189193,0.125710086153784,2.98581442856667
"172","Raw",137,1.60029997572307e-05,2.55701048179062e-06,0.802696960877242,0.125683990980955,5.1977290854
"173","Raw",138,2.37519681680741e-05,5.27391787825966e-06,0.804764219209357,0.125835169495745,5.31167519876667
"174","Raw",140,2.1363311717469e-05,3.41116225426122e-06,0.807110213763406,0.126136101827068,5.50114751843333
"175","Raw",142,1.90374904226617e-05,1.02095861581104e-05,0.809211055474693,0.126761808852161,4.59557899043333
"176","Raw",143,1.96777273045851e-05,1.10483582828315e-06,0.811224246796509,0.127322093580201,3.36815220503333
"177","Raw",145,1.73116082610742e-05,1.09707115135161e-05,0.813147692245924,0.127805024986857,4.03997872016667
"178","Raw",147,1.76082148061464e-05,8.12793978927627e-06,0.814963523045419,0.128505803837451,2.898144933
"179","Raw",149,1.0455504267818e-05,1.08305927989225e-06,0.816422836437265,0.128738102673864,1.78184697123333
"180","Raw",150,5.96732509218131e-06,4.2727161012492e-06,0.817276823563985,0.128935087868638,1.38092619917667
"181","Raw",152,5.47111771926993e-06,2.99985963627177e-06,0.817871622590181,0.129278844454117,1.05087583215667
"182","Raw",154,4.98390364255251e-06,2.73493901178925e-06,0.818415283700995,0.129528755412606,0.956398343633333
"183","Raw",156,4.59030024091063e-06,1.92285964041247e-06,0.818913142302936,0.129735219422705,0.928459845843333
"184","Raw",157,5.2606035877892e-06,2.23931151552434e-06,0.819425389302028,0.129915460283706,1.02825967436667
"185","Raw",159,6.99566272932984e-06,2.76214706702648e-06,0.820062715150518,0.129978522510301,1.50288716956667
"186","Raw",161,1.46020972015671e-05,2.47089217112548e-07,0.835239775226233,0.180504138891743,2.67130098846667
"187","Separated",0,0.00148348685605179,0.000960203261592586,0,0,12.9315085496667
"188","Separated",1.73,0.000487772895003923,0.000258777599103363,0.102505507054897,0.0627694003557682,17.667335423
"189","Separated",3.47,0.000263520416171215,9.89476024238799e-05,0.141572759236004,0.0809599423392877,12.0985440076667
"190","Separated",5.2,0.000187726313828085,6.95903402218984e-05,0.165037589195968,0.0896675082858505,9.83360758036667
"191","Separated",6.93,8.66093574432129e-05,4.20354069036144e-05,0.179303044102075,0.0954140626071242,13.2204891265
"192","Separated",8.66,7.35203891930175e-05,3.1026982630555e-05,0.187629790927159,0.0991736393772279,11.0569149229333
"193","Separated",10.4,5.10787769798423e-05,2.47400023008182e-05,0.194108947568148,0.10204650028425,9.85037688966667
"194","Separated",12.1,4.29295607856376e-05,1.44458177526931e-05,0.198997381131953,0.104072584391094,8.99283063976667
"195","Separated",13.9,4.29402552717945e-05,5.57585501838375e-06,0.203462611566939,0.105099197474914,8.30062355676667
"196","Separated",15.6,7.88634144289821e-05,2.54934573045877e-05,0.20979640239138,0.1049740908217,13.001894942
"197","Separated",17.3,9.85450679374624e-05,2.50143544648259e-05,0.219021643474435,0.10580264745404,16.5761025493333
"198","Separated",19.1,8.73719534595937e-05,1.80310950326502e-05,0.228689328587082,0.107750031006086,14.8677358633333
"199","Separated",20.8,8.4362595382028e-05,1.24898913299608e-05,0.237619525126846,0.108914597615732,13.4412721123333
"200","Separated",22.5,6.25128106532059e-05,1.80619551141121e-05,0.245257046240678,0.110119987051481,12.4227850153333
"201","Separated",24.3,5.82980845465054e-05,2.28177555718848e-05,0.251539212791063,0.111221689717921,10.1204887183333
"202","Separated",26,5.14579575361991e-05,1.73216270151642e-05,0.257246526979364,0.112227200878222,10.8638333608667
"203","Separated",27.7,4.38502452689688e-05,1.48017581161455e-05,0.262202553525233,0.113099645750078,8.54853958996667
"204","Separated",29.5,3.43823540463975e-05,1.65217568308101e-05,0.266270648689632,0.113904950914245,7.61478192776667
"205","Separated",31.2,2.29807616015713e-05,8.45393747645059e-06,0.269253530703326,0.114708863517111,4.16301982213333
"206","Separated",32.9,1.66402069513724e-05,4.74112838672764e-06,0.271313821068079,0.115041783111462,3.9917886941
"207","Separated",34.6,1.47679945006227e-05,3.3345491691434e-06,0.272947047543583,0.115289877968222,3.53868271383333
"208","Separated",36.4,5.59988385742781e-06,3.73316886671375e-06,0.274006177218201,0.115583864619674,5.84869214576667
